edicion lolla ,artista ,genero musical 01,genero musical 02,genero musical 03,integrantes,nacionalidad,headliner,escenario,veces en lollapalooza
2011,Zeta Bosio,Rock ,Rock argentino,NA,1,Argentina,No,LG Stage,1
2011,Bomba Estéreo ,Rap alternativo,Reggae,Electro,2,Colombiana,No,Tech Stage,1
2011,Ghostland Observatory ,Electro rock,Electro funk,NA,2,Estadounidense,No,LG Stage,1
2011,Joachim Garraud,Electrónica,Dance,NA,1,Francesa,No,LG Stage,1
2011,Francisca Valenzuela,Pop rock,Pop latino,Folk,1,Chilena,No,Claro Stage,1
2011,Anita Tijoux,Rap ,Hip Hop,Jazz Rap,1,Chilena,No,Tech Stage,1
2011,Quique Neira,Reggae,Ska,Roots reggae,1,Chilena,No,Claro Stage,1
2011,Latin Bitman,Hip hop,Funk,R&B,1,Chilena,No,LG Stage,1
2011,DJ Raff ,Electrónica,Hip hop,Trip-hop,1,Chilena,No,LG Stage,1
2011,Toy Selektah ,Electrónica,NA ,NA,1,Mexicana,No,LG Stage,1
2011,Fother Muckers,Rock ,NA ,NA,4,Chilena,No,Tech Stage,1
2011,Como Asesinar a Felipes ,Hip hop alternativo,Rap experimental,Rock Psicodélico,5,Chilena,No,Tech Stage,1
2011,Astro ,Indie Pop,NA ,NA,4,Chilena,No,Tech Stage,1
2011,New Kids on the Noise,Electrónica,NA ,NA,2,Chilena,No,LG Stage,1
2011,The Ganjas,Rock psicodélico,Dub,Stoner rock,4,Chilena,No,Tech Stage,1
2011,Denver,Indie Pop,Electro pop,NA,2,Chilena,No,Tech Stage,1
2011,Ital ,NA,NA ,NA,1,Chilena,No,LG Stage,1
2011,Matanza ,Electrónica,Folclore,Dub,3,Chilena,No,LG Stage,1
2011,Mundano,Rap Metal,NA ,NA,,Chilena,No,Tech Stage,1
2011,Devil Presley,Rock,NA ,NA,,Chilena,No,Tech Stage,1
2012,Björk ,Electrónica,Art Pop,Experimental,1,Islandesa,Sí,Claro-LG Stage,1
2012,Cage the Elephant,Indie Rock,Blues Rock,Rock Alternativo,6,Estadounidense,No,Claro-LG Stage,1
2012,Thievery Corporation,Electrónica,Dub,Lounge,2,Estadounidense,No,Claro-LG Stage,1
